i,treat_shannon,control_shannon,type,qmd_MAE
414,1.53380135,2.916179285,1,0.963205975
415,1.908650652,2.811995352,1,0.531793659
416,1.604196361,2.827773549,1,1.524290327
417,0.203498503,2.7707108,1,0.623138895
418,1.471409073,2.791950693,1,0.642447579
419,1.633389066,2.959236586,1,0.693532266
420,1.754464896,2.899392365,1,0.596900031
421,1.608163519,2.803635497,1,0.517053707
422,1.223116693,2.915629368,1,0.694571715
423,0.797775179,2.806140068,1,0.707967462
424,1.125375629,2.711700947,1,2.359316829
425,1.317587824,2.820405238,1,0.515185166
426,1.926588441,2.805398519,1,0.671573473
427,2.550799256,2.767795101,1,0.565043872
428,0.685728636,2.924569382,1,0.783175814
429,1.159010963,2.848871723,1,0.703309442
430,1.68509824,2.839340213,1,0.743928583
431,0.55457476,2.844575644,1,0.749289472
432,1.231593221,2.722516035,1,0.958167932
433,0.755579803,2.78306213,1,1.006670174
434,0.573930653,2.949142282,1,0.961169863
435,2.467705504,2.978431873,1,0.996897676
436,1.919795818,2.721243698,1,0.833026165
437,2.328412155,2.73549337,1,0.658214343
438,1.572592693,2.780049286,1,0.652291633
439,0.44706384,2.785198914,1,0.705383544
440,1.889014282,2.867906735,1,0.729161761
441,2.544211183,2.853699503,1,0.569966758
442,2.719247586,2.826861293,1,0.59506733
443,1.510047556,2.789304016,1,0.524383034
444,2.527578397,2.843264232,1,0.63104889
445,2.299538231,2.828732147,1,0.493492702
446,1.39542688,2.796068663,1,0.532381929
447,1.382737835,2.739384351,1,0.711808824
448,0.949693124,2.784562062,1,0.832357167
449,1.7697906,2.721779741,1,0.767454272
450,2.686156992,2.713075585,1,0.617257175
451,0.89580419,2.847954022,1,0.656498987
452,1.858801459,2.870504057,1,0.788900023
453,2.63027778,2.944148333,1,0.627471298
454,1.294986337,2.880469156,1,0.704658872
455,0.187416587,2.861499977,1,0.946909733
456,2.48680301,2.83900085,1,0.516826611
457,2.361814546,2.78580839,1,1.181543198
458,1.840361583,2.820206964,1,0.789162455
459,1.363903725,2.843915679,1,0.768350696
460,1.093358193,3.01723551,1,0.946289698
461,1.227519032,2.807657977,1,0.624019688
462,3.0805865,2.714548233,0,0.804639564
463,2.70622637,2.755330024,1,0.626710204
464,1.244033802,2.683588263,1,0.632115257
465,2.278287584,2.893257546,1,0.504255245
466,1.560269282,2.776150514,1,0.653380108
467,2.644626413,2.754965386,1,0.476182426
468,1.15345222,2.803947254,1,0.693828385
469,1.249797487,2.696152925,1,0.807832851
470,1.337760363,2.831230676,1,0.73826244
471,1.690749278,2.851000582,1,0.526528114
472,2.302013351,2.825481617,1,0.437264644
473,1.871810389,2.818026667,1,0.861782342
474,1.642219338,2.635583887,1,0.855098537
475,1.576405382,2.820164756,1,0.820708434
476,1.617590551,2.879395773,1,0.561480146
477,2.656343593,2.839707328,1,0.518871914
478,0.944899338,3.084945623,1,0.548359077
479,1.537922345,3.121032287,1,1.389568182
480,1.098458249,2.705817051,1,0.730246954
481,1.035625086,2.796750818,1,0.724678575
482,0.719880094,2.764031509,1,0.811015031
483,0.827944418,2.719707856,1,0.64308449
484,1.414058213,2.663446701,1,0.964537501
485,1.332185749,2.796768296,1,0.578908446
486,0.66360514,2.862639829,1,0.739227737
487,1.876791521,2.942225971,1,0.560618849
488,2.189498276,2.760850506,1,0.533085546
489,1.127532147,2.740884935,1,0.787845007
490,2.012124824,2.697014399,1,0.649910812
491,1.318636957,2.819083668,1,1.984367082
