i,changedTaxaCount,changedTaxaRate,MicrobiotaDensityFoldChange,qmd_Density_delta,MicrobiotaDensityFoldChange_ori,changfold,ancomP_FNR,ancomP_FPR,mwu_diff_pvalue_FNR,mwu_diff_pvalue_FPR,mwu_logged_pvalue_FNR,mwu_logged_pvalue_FPR,qmd_diff_pvalue_FNR,qmd_diff_pvalue_FPR,qmd_diff_qvalue_FPR,qmd_diff_qvalue_FNR,ANCOM_BC_diff_qval_FPR,ANCOM_BC_diff_qval_FNR,qmd_logged_Density_diff_MAE,logged_relative_abundance_diff_MAE,ANCOM_BC_diff_MAE,groupsize,DR_inferred_foldchange_MAE
134.0,89.0,0.8476190476190476,5.114455003170882,4.609999999999999,0.5049882244667891,0.009056975947817987,0.0,1.0,0.0,1.0,0.0,1.0,0.13861386138613863,1.0,1.0,0.13861386138613863,1.0,0.2079207920792079,0.005059398068301875,4.6087467529482495,0.17731229118719785,65.0,3.584345156239935
135.0,58.0,0.5576923076923077,5.688074805370243,5.85,-0.1617899054485079,-0.18755963253091393,0.0,0.13043478260869565,0.0,1.0,0.0,1.0,0.017857142857142856,0.08695652173913043,0.06521739130434782,0.017857142857142856,0.043478260869565216,0.07142857142857142,0.004990217223880024,5.8497965658607605,0.239631125373673,83.0,2.6693419300096712
136.0,98.0,0.9514563106796117,6.760141957466677,6.68,0.08928703196181331,0.3440868758956435,0.011363636363636364,1.0,0.0,1.0,0.0,1.0,0.0,0.45454545454545453,0.45454545454545453,0.0,0.09090909090909091,0.022727272727272728,0.0139970127352447,6.669425402475135,0.13323906493900978,16.0,4.823164965732292
137.0,44.0,0.4230769230769231,4.3607069710747695,4.460000000000001,-0.096023878106287,-0.4407060028723265,0.0,0.06557377049180328,0.0,1.0,0.0,1.0,0.0,0.09836065573770492,0.04918032786885246,0.0,0.0,0.04878048780487805,0.006791012912464832,4.456095864813553,0.1302557419748133,74.0,2.0105989190853517
138.0,87.0,0.8365384615384616,5.99864700062199,5.93,0.06601960241739846,-0.09351583088137054,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.00503698132298652,5.932816957699734,0.2286039671965311,98.0,4.26701430420688
139.0,19.0,0.18095238095238095,1.2949837419289698,1.1600000000000001,0.13313696246238038,-1.2261593528406083,0.0,0.06896551724137931,0.0,1.0,0.0,1.0,0.0,0.2413793103448276,0.14942528735632185,0.0,0.0,0.0,0.0055689344015207075,1.1613367986178642,0.08409243299799239,98.0,0.7603993102560302
140.0,51.0,0.4857142857142857,2.5446890203843324,2.7300000000000004,-0.18149554240699567,-0.5687275620002087,0.0,0.07547169811320754,0.0,1.0,0.0,1.0,0.0,0.1509433962264151,0.09433962264150944,0.0,0.018867924528301886,0.0851063829787234,0.011559754693927914,2.728081803454682,0.14945264320614415,16.0,2.370872013783768
141.0,92.0,0.8846153846153846,6.693260992642276,6.800000000000001,-0.09857939026363027,-0.348744551101387,0.011494252873563218,1.0,0.0,1.0,0.0,1.0,0.0,0.5333333333333333,0.5333333333333333,0.0,0.0,0.13793103448275862,0.009137402771902654,6.792979704924844,0.6407660755544493,55.0,4.425130562709896
142.0,11.0,0.10476190476190476,0.904171273803776,1.0700000000000003,-0.17007342442389015,-0.4633116553901626,0.0,0.03225806451612903,0.0,1.0,0.0,1.0,0.0,0.10752688172043011,0.043010752688172046,0.0,0.0,0.0,0.007157524547766947,1.073477574557664,0.10618287927104998,54.0,0.4614768122545287
143.0,67.0,0.638095238095238,4.6050280057053,4.58,0.02498107742350797,-0.5642288671420798,0.015873015873015872,0.15384615384615385,0.0,1.0,0.0,1.0,0.0,0.10256410256410256,0.07692307692307693,0.0,0.02564102564102564,0.047619047619047616,0.004971149254268863,4.5809622542068125,0.23140599807199308,78.0,2.980841518281322
144.0,70.0,0.6730769230769231,4.978599602111995,4.68,0.30401008502270344,-0.034557829575694185,0.0,0.1388888888888889,0.0,1.0,0.0,1.0,0.0,0.2222222222222222,0.19444444444444445,0.0,0.08333333333333333,0.0,0.017904097981040572,4.671352149893537,0.02062167773443205,6.0,4.069489462010661
145.0,13.0,0.125,1.8296443861995364,1.7799999999999994,0.051132571491333316,0.07498977884916254,0.0,0.06666666666666667,0.0,1.0,0.0,1.0,0.0,0.07777777777777778,0.0,0.0,0.0,0.0,0.004829276785669537,1.77903610333771,0.11046303944845873,99.0,0.6598770375434907
