i,MicrobiotaDensityFoldChange,qmd_Density_delta,permutation_quantitle,permutation_pvalue,permutation_test
202.0,5.6645346954828,5.83,1.0,0.0,True
203.0,2.718399849517517,2.619999999999999,1.0,0.0,True
204.0,4.443092939053116,5.199999999999999,1.0,0.0,True
205.0,2.3471998729535386,1.8100000000000005,1.0,0.0,True
206.0,3.5293451388090564,3.5999999999999996,1.0,0.0,True
207.0,6.072352364122878,6.170000000000002,1.0,0.0,True
208.0,6.279382220455929,6.469999999999999,1.0,0.0,True
209.0,4.124387019629546,3.960000000000001,1.0,0.0,True
210.0,0.6304724146708196,0.5700000000000003,1.0,0.0,True
211.0,3.5544731513972683,3.16,1.0,0.0,True
212.0,3.5376666734619,3.5700000000000003,1.0,0.0,True
213.0,0.12974448849107745,0.23000000000000043,0.972,0.028000000000000025,True
214.0,2.4948845374001816,4.34,0.998,0.0020000000000000018,True
215.0,2.088246319972974,2.2300000000000004,1.0,0.0,True
216.0,3.221877618529589,3.51,1.0,0.0,True
217.0,2.5873769031934093,2.5600000000000005,1.0,0.0,True
218.0,0.0075898209930471685,0.1899999999999995,0.916,0.08399999999999996,False
219.0,5.292693033102181,5.210000000000001,1.0,0.0,True
220.0,2.5519077654119258,2.789999999999999,1.0,0.0,True
221.0,2.2107212045846865,2.9299999999999997,1.0,0.0,True
222.0,2.8482113904275717,1.2799999999999994,0.998,0.0020000000000000018,True
223.0,2.580159438477608,2.33,1.0,0.0,True
224.0,5.379490859392291,5.199999999999999,1.0,0.0,True
225.0,3.1931179688271314,3.0700000000000003,1.0,0.0,True
226.0,3.855183132290726,3.6899999999999995,1.0,0.0,True
227.0,2.9668513411081965,2.76,1.0,0.0,True
228.0,7.418013489403172,7.239999999999998,1.0,0.0,True
229.0,1.1503847666613964,1.0199999999999996,1.0,0.0,True
230.0,0.5421219031047713,0.10999999999999943,0.776,0.22399999999999998,False
231.0,2.333432280486555,2.630000000000001,1.0,0.0,True
232.0,0.6031500637554146,0.8699999999999992,1.0,0.0,True
233.0,3.2406386243277514,2.9000000000000004,1.0,0.0,True
234.0,7.732999188442676,7.530000000000001,1.0,0.0,True
235.0,4.325621421510071,4.460000000000001,1.0,0.0,True
236.0,4.073922979140342,3.539999999999999,1.0,0.0,True
237.0,2.3706949899378813,0.4800000000000004,0.728,0.272,False
238.0,3.319130628965788,3.08,1.0,0.0,True
239.0,3.8353470599945823,4.27,1.0,0.0,True
240.0,4.414750837572235,4.640000000000001,1.0,0.0,True
241.0,4.321354280582035,8.629999999999999,1.0,0.0,True
242.0,4.633422683282994,4.789999999999999,1.0,0.0,True
243.0,2.9961378005956827,2.74,1.0,0.0,True
244.0,6.256437690514332,5.1,1.0,0.0,True
245.0,7.991422196963391,7.780000000000001,1.0,0.0,True
246.0,7.531313356907418,7.59,1.0,0.0,True
247.0,5.9943372228887455,5.99,1.0,0.0,True
248.0,2.0203840036160514,1.8599999999999994,1.0,0.0,True
249.0,4.491844151481544,4.74,1.0,0.0,True
250.0,6.599071647768199,6.43,1.0,0.0,True
251.0,5.8420263299233,3.08,1.0,0.0,True
252.0,4.6013574043022345,4.9399999999999995,1.0,0.0,True
253.0,0.3053180218473983,0.08000000000000007,0.684,0.31599999999999995,False
254.0,2.9389624038408044,3.0500000000000007,1.0,0.0,True
255.0,0.9841058416201632,1.1600000000000001,1.0,0.0,True
256.0,-0.15573100433029907,-0.21000000000000085,0.014,0.014,True
257.0,1.9932739337873289,1.92,1.0,0.0,True
258.0,2.6137275998063174,2.8200000000000003,1.0,0.0,True
259.0,1.5082221841919083,1.2400000000000002,1.0,0.0,True
260.0,7.826413854987329,7.399999999999999,1.0,0.0,True
261.0,0.14265344872848829,0.1999999999999993,0.81,0.18999999999999995,False
262.0,4.490343994460545,2.1099999999999994,1.0,0.0,True
263.0,6.291232200338073,7.120000000000001,1.0,0.0,True
264.0,1.0179688893884062,0.9299999999999997,1.0,0.0,True
265.0,-0.3447088543754546,-0.2699999999999996,0.008,0.008,True
266.0,4.904024067203217,4.42,1.0,0.0,True
267.0,-0.27094090197445553,0.11999999999999922,0.694,0.30600000000000005,False
268.0,2.4500509114604943,2.2699999999999996,1.0,0.0,True
269.0,2.403800965865379,2.4800000000000004,1.0,0.0,True
270.0,4.800174679107633,4.949999999999999,1.0,0.0,True
271.0,4.6803134781759175,5.49,1.0,0.0,True
272.0,2.2903961682540768,2.2699999999999996,1.0,0.0,True
273.0,0.8602404113272115,0.9700000000000006,1.0,0.0,True
274.0,0.04797383484690698,0.0600000000000005,0.664,0.33599999999999997,False
275.0,2.9280275505691544,2.9700000000000006,1.0,0.0,True
276.0,0.11633541647789515,-0.10999999999999943,0.222,0.222,False
277.0,3.1698692510243016,3.369999999999999,1.0,0.0,True
278.0,1.939227496417708,1.9399999999999995,1.0,0.0,True
279.0,5.573886477386303,5.32,1.0,0.0,True
280.0,4.628290719806658,4.66,1.0,0.0,True
281.0,5.356160582366755,6.09,1.0,0.0,True
282.0,3.1274209387206473,3.26,1.0,0.0,True
283.0,3.8005059195358015,3.92,1.0,0.0,True
284.0,1.3064780451841498,1.5399999999999991,1.0,0.0,True
